solicitation_number,title,agency,docname,document_token,attempted_url,resolved_url,downloaded,parsed,parse_elapsed_s,parse_error,extracted_text_len,sha256,bytes,pdf_path,http_status,content_type,stage,ok
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd3.pdf,RENLQS0yMDE5LUItMDA4OMKmezUwMjdDQzZFLTAwMDAtQzExOS04N0RDLUIxOUI4NkYyNUFDOX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezUwMjdDQzZFLTAwMDAtQzExOS04N0RDLUIxOUI4NkYyNUFDOX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezUwMjdDQzZFLTAwMDAtQzExOS04N0RDLUIxOUI4NkYyNUFDOX0=,True,True,1.291,,0.0,0081a1c09230c65ddd47b72e70b3c6089c39a2445d73953f585c373dfeb7be09,103734.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd3.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd5.pdf,RENLQS0yMDE5LUItMDA4OMKmezkwMjg1NzZGLTAwMDAtQ0YxOS05MzQ3LTJDOEJBRjdDQzFFMn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezkwMjg1NzZGLTAwMDAtQ0YxOS05MzQ3LTJDOEJBRjdDQzFFMn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezkwMjg1NzZGLTAwMDAtQ0YxOS05MzQ3LTJDOEJBRjdDQzFFMn0=,True,True,1.274,,0.0,60980efc8a558fcdbd45508594ff666e1c242f80921415748ce536d29c9075b0,105687.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd5.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd4.pdf,RENLQS0yMDE5LUItMDA4OMKmezEwMEQwRjZGLTAwMDAtQzgxMi05MTU5LUZCN0Q3MDkzQjJGMH0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezEwMEQwRjZGLTAwMDAtQzgxMi05MTU5LUZCN0Q3MDkzQjJGMH0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezEwMEQwRjZGLTAwMDAtQzgxMi05MTU5LUZCN0Q3MDkzQjJGMH0=,True,True,1.354,,0.0,f2248be01a59bd1e8560656b47dbdfd80fd2d9a0ad18a87c87fc8cac38a4c34c,1355223.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd4.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd2.pdf,RENLQS0yMDE5LUItMDA4OMKme0QwRDI4NDZFLTAwMDAtQzExRC1CMDkxLTA0MjJFQkMyODdBRH0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKme0QwRDI4NDZFLTAwMDAtQzExRC1CMDkxLTA0MjJFQkMyODdBRH0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKme0QwRDI4NDZFLTAwMDAtQzExRC1CMDkxLTA0MjJFQkMyODdBRH0=,True,True,1.24,,0.0,886d00fac3d8e2e84c13fab81565a29e00190978dcc9f75f68cfc32316413faa,129897.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd2.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd1.pdf,RENLQS0yMDE5LUItMDA4OMKmezcwRDI4NDZFLTAwMDAtQzUxQS04MjYxLUJDRkRBRjk2OUI0Nn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezcwRDI4NDZFLTAwMDAtQzUxQS04MjYxLUJDRkRBRjk2OUI0Nn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezcwRDI4NDZFLTAwMDAtQzUxQS04MjYxLUJDRkRBRjk2OUI0Nn0=,True,True,1.258,,0.0,23596fc114bf1dd55e8ac7771c0c7409637074abdc777bf2cee39a812c16a47e,218701.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd1.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd6.pdf,RENLQS0yMDE5LUItMDA4OMKme0IwNUFCNTZGLTAwMDAtQzkxQy1CQjhBLTA0MEU4NDc2ODhBNn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKme0IwNUFCNTZGLTAwMDAtQzkxQy1CQjhBLTA0MEU4NDc2ODhBNn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKme0IwNUFCNTZGLTAwMDAtQzkxQy1CQjhBLTA0MEU4NDc2ODhBNn0=,True,True,1.276,,0.0,5f2418c534d5f3f6074a0df0e241163875fe4c0264d23e2290da35de10165529,98887.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd6.pdf,,,,
DCKA-2019-B-0088,"Massachusetts Avenue, NW Rehabilitation from 20th Street to Waterside Drive",DDOT,DCKA-2019-B-0088_Amd8.pdf,RENLQS0yMDE5LUItMDA4OMKmezkwNTk5NzczLTAwMDAtQ0UxRi1BOEQ2LTFDQjFBNDEzOEJFQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezkwNTk5NzczLTAwMDAtQ0UxRi1BOEQ2LTFDQjFBNDEzOEJFQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDE5LUItMDA4OMKmezkwNTk5NzczLTAwMDAtQ0UxRi1BOEQ2LTFDQjFBNDEzOEJFQn0=,True,True,1.323,,0.0,7a0c9dbfd95315fc9eb4cb33f47202a25ffa336521969fc6c7dc05453c9db62c,178628.0,data\raw\dc_pass_docs\DCKA-2019-B-0088_Amd8.pdf,,,,
DCRL-2020-R-0042,Temporary Safe Heaven,CFSA,DCRL-2020-R-0042_Att2.xlsx,RENSTC0yMDIwLVItMDA0MsKme0QwNUUyMTcwLTAwMDAtQ0YxRi1CRDkyLTA4RDVBMkREOTcyQX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKme0QwNUUyMTcwLTAwMDAtQ0YxRi1CRDkyLTA4RDVBMkREOTcyQX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKme0QwNUUyMTcwLTAwMDAtQ0YxRi1CRDkyLTA4RDVBMkREOTcyQX0=,False,,,,,,,,200.0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,
DCRL-2020-R-0042,Temporary Safe Heaven,CFSA,DCRL-2020-R-0042_Att1.pdf,RENSTC0yMDIwLVItMDA0MsKmezAwNUJCNTZGLTAwMDAtQ0ExNS05Qzc1LUE2OUMzM0FBOTMzMn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKmezAwNUJCNTZGLTAwMDAtQ0ExNS05Qzc1LUE2OUMzM0FBOTMzMn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKmezAwNUJCNTZGLTAwMDAtQ0ExNS05Qzc1LUE2OUMzM0FBOTMzMn0=,True,False,9.174,parse_timeout>8.0s,0.0,20488c90d183522a9f34bfc9f21e12380dae89d5183e034fefb9ce8bdb6153c0,1249463.0,data\raw\dc_pass_docs\DCRL-2020-R-0042_Att1.pdf,,,,
DCRL-2020-R-0042,Temporary Safe Heaven,CFSA,DCRL-2020-R-0042_Amd4.pdf,RENSTC0yMDIwLVItMDA0MsKme0YwNUE5NzczLTAwMDAtQ0QxOC04QzAzLTcyMDU0QzVGRUQ5N30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKme0YwNUE5NzczLTAwMDAtQ0QxOC04QzAzLTcyMDU0QzVGRUQ5N30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKme0YwNUE5NzczLTAwMDAtQ0QxOC04QzAzLTcyMDU0QzVGRUQ5N30=,True,True,1.358,,0.0,9a2b9bc69575d95dba3cdd8b7b25601d1975db0b82983564a9c097a7baed2ada,668601.0,data\raw\dc_pass_docs\DCRL-2020-R-0042_Amd4.pdf,,,,
DCRL-2020-R-0042,Temporary Safe Heaven,CFSA,DCRL-2020-R-0042_Amd2.pdf,RENSTC0yMDIwLVItMDA0MsKmezkwNUUyMTcwLTAwMDAtQ0YxRC05ODhBLUIzMzVCMkQ2NkFGQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKmezkwNUUyMTcwLTAwMDAtQ0YxRC05ODhBLUIzMzVCMkQ2NkFGQn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENSTC0yMDIwLVItMDA0MsKmezkwNUUyMTcwLTAwMDAtQ0YxRC05ODhBLUIzMzVCMkQ2NkFGQn0=,True,True,1.265,,0.0,871273a176f8424781a376cd52cc18cfce11d653ed8227fdd6dc55831256d190,134662.0,data\raw\dc_pass_docs\DCRL-2020-R-0042_Amd2.pdf,,,,
DCKA-2020-B-0011,Safety and Geometric Improvements of I-295,DDOT,DCKA-2020-B-0011_Amd1.pdf,RENLQS0yMDIwLUItMDAxMcKme0YwMjg1NzZGLTAwMDAtQzYxMi1BMjRFLTI3OTdGRDAxM0Q0M30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKme0YwMjg1NzZGLTAwMDAtQzYxMi1BMjRFLTI3OTdGRDAxM0Q0M30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKme0YwMjg1NzZGLTAwMDAtQzYxMi1BMjRFLTI3OTdGRDAxM0Q0M30=,True,True,1.264,,0.0,dcfb787664c9052d0505dd82b765f11d4869bad287bb3786617e0593fe19b03f,96846.0,data\raw\dc_pass_docs\DCKA-2020-B-0011_Amd1.pdf,,,,
DCKA-2020-B-0011,Safety and Geometric Improvements of I-295,DDOT,DCKA-2020-B-0011_Att1.pdf,RENLQS0yMDIwLUItMDAxMcKmezcwQkI4QTZGLTAwMDAtQzgxMS05QTFELTAwOTgwM0EzQTM4MX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKmezcwQkI4QTZGLTAwMDAtQzgxMS05QTFELTAwOTgwM0EzQTM4MX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKmezcwQkI4QTZGLTAwMDAtQzgxMS05QTFELTAwOTgwM0EzQTM4MX0=,True,True,1.369,,3178.0,c79d2586fbffde98f8009be790c3b58b5a67e7d34f56d4413f476dee588a3515,128967.0,data\raw\dc_pass_docs\DCKA-2020-B-0011_Att1.pdf,,,,
DCKA-2020-B-0011,Safety and Geometric Improvements of I-295,DDOT,DCKA-2020-B-0011_Amd2.pdf,RENLQS0yMDIwLUItMDAxMcKme0UwQkI4QTZGLTAwMDAtQzMxRC1CQzAzLTk2QUUxMTg2NDNCMX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKme0UwQkI4QTZGLTAwMDAtQzMxRC1CQzAzLTk2QUUxMTg2NDNCMX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKme0UwQkI4QTZGLTAwMDAtQzMxRC1CQzAzLTk2QUUxMTg2NDNCMX0=,True,True,1.303,,0.0,d23663bc719e2b9a85f0f3948f1ac2ff65efe2aae91a63e937d9bd808bc560ea,152270.0,data\raw\dc_pass_docs\DCKA-2020-B-0011_Amd2.pdf,,,,
DCKA-2020-B-0011,Safety and Geometric Improvements of I-295,DDOT,DCKA-2020-B-0011_Amd3.pdf,RENLQS0yMDIwLUItMDAxMcKmezUwNUFCNTZGLTAwMDAtQzExQS04RDA3LTg4M0VGMTI2RTk2NX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKmezUwNUFCNTZGLTAwMDAtQzExQS04RDA3LTg4M0VGMTI2RTk2NX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIwLUItMDAxMcKmezUwNUFCNTZGLTAwMDAtQzExQS04RDA3LTg4M0VGMTI2RTk2NX0=,True,True,1.336,,558.0,989e771eb41b377d9e75fdc8f15d866d739704a8e53462f32159cdf849676fca,265867.0,data\raw\dc_pass_docs\DCKA-2020-B-0011_Amd3.pdf,,,,
DCKA-2021-B-0007,"RECONSTRUCTION OF FLORIDA AVENUE AND 9TH STREET, NW FROM T STREET TO BARRY PLACE, NW",DDOT,DCKA-2021-B-0007_Amd1.pdf,RENLQS0yMDIxLUItMDAwN8KmezgwNzY2RDc3LTAwMDAtQ0ExRS1CQkQ2LTg1MTNCNUMyQjEwQ30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIxLUItMDAwN8KmezgwNzY2RDc3LTAwMDAtQ0ExRS1CQkQ2LTg1MTNCNUMyQjEwQ30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIxLUItMDAwN8KmezgwNzY2RDc3LTAwMDAtQ0ExRS1CQkQ2LTg1MTNCNUMyQjEwQ30=,True,True,1.412,,4180.0,2dd8c8bacc000cf67b89118cb94773dac3847d523b3abf3c8799fbf119df6149,114939.0,data\raw\dc_pass_docs\DCKA-2021-B-0007_Amd1.pdf,,,,
DCKA-2021-B-0007,"RECONSTRUCTION OF FLORIDA AVENUE AND 9TH STREET, NW FROM T STREET TO BARRY PLACE, NW",DDOT,DCKA-2021-B-0007_Amd2.pdf,RENLQS0yMDIxLUItMDAwN8Kme0EwNzg2RDc3LTAwMDAtQ0QxQS04Mjc3LTQ2QjdGRUU1QUQ0RX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIxLUItMDAwN8Kme0EwNzg2RDc3LTAwMDAtQ0QxQS04Mjc3LTQ2QjdGRUU1QUQ0RX0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIxLUItMDAwN8Kme0EwNzg2RDc3LTAwMDAtQ0QxQS04Mjc3LTQ2QjdGRUU1QUQ0RX0=,True,True,1.344,,4044.0,69ed08b51d16c746cb008a45fb3da681cff2dcd36669f48a07d011102fb8c83f,115598.0,data\raw\dc_pass_docs\DCKA-2021-B-0007_Amd2.pdf,,,,
DCKA-2021-D-0018,CONSTRUCTION MANAGEMENT AND INSPECTION SERVICES FOR DC PLUG FEEDER CONSTRUCTION PROJECTS,DDOT,DCKA-2021-D-0018_Amd2.pdf,RENLQS0yMDIxLUQtMDAxOMKmezIwNzg2RDc3LTAwMDAtQzQxQi1BQzVDLUMyNjU0QjMyMzA2Nn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIxLUQtMDAxOMKmezIwNzg2RDc3LTAwMDAtQzQxQi1BQzVDLUMyNjU0QjMyMzA2Nn0=,https://contracts.ocp.dc.gov/solicitations/attachments/RENLQS0yMDIxLUQtMDAxOMKmezIwNzg2RDc3LTAwMDAtQzQxQi1BQzVDLUMyNjU0QjMyMzA2Nn0=,True,False,1.28,cryptography>=3.1 is required for AES algorithm,0.0,d552f6409675f432d71f4d12b2e235b057c21ca11dbdcd8edc89c863f176a24c,876075.0,data\raw\dc_pass_docs\DCKA-2021-D-0018_Amd2.pdf,,,,
DCEB-2021-R-0001,Government of the District of Columbia Disparity Study,DMPED,DCEB-2021-R-0001_Att2.pdf,RENFQi0yMDIxLVItMDAwMcKmezkwN0NGNTc1LTAwMDAtQ0YxNi1CMUJCLTFEOUU1MjMwRDM2M30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENFQi0yMDIxLVItMDAwMcKmezkwN0NGNTc1LTAwMDAtQ0YxNi1CMUJCLTFEOUU1MjMwRDM2M30=,https://contracts.ocp.dc.gov/solicitations/attachments/RENFQi0yMDIxLVItMDAwMcKmezkwN0NGNTc1LTAwMDAtQ0YxNi1CMUJCLTFEOUU1MjMwRDM2M30=,True,False,9.168,parse_timeout>8.0s,0.0,b89daf490eeb5f39219fdd7008af454d1e1e8b60d4d7c8d79d88dc1ebd7764c7,62583.0,data\raw\dc_pass_docs\DCEB-2021-R-0001_Att2.pdf,,,,
